timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1581416629431,4172,AuthNProxy,401,Unauthorized,Thread Group 1-47,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4172,0,545
1581416629451,4154,AuthNProxy,401,Unauthorized,Thread Group 1-5,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4154,0,550
1581416629576,4030,AuthNProxy,401,Unauthorized,Thread Group 1-17,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4030,0,550
1581416629589,4136,AuthNProxy,401,Unauthorized,Thread Group 1-8,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4136,0,544
1581416629567,4160,AuthNProxy,401,Unauthorized,Thread Group 1-15,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4160,0,549
1581416629568,4191,AuthNProxy,401,Unauthorized,Thread Group 1-18,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4191,0,550
1581416629868,4153,AuthNProxy,401,Unauthorized,Thread Group 1-38,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4153,0,545
1581416629850,4172,AuthNProxy,401,Unauthorized,Thread Group 1-39,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4172,0,543
1581416629837,4190,AuthNProxy,401,Unauthorized,Thread Group 1-31,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4190,0,551
1581416629854,4174,AuthNProxy,401,Unauthorized,Thread Group 1-24,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4174,0,551
1581416629854,4175,AuthNProxy,401,Unauthorized,Thread Group 1-45,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4175,0,545
1581416629856,4175,AuthNProxy,401,Unauthorized,Thread Group 1-16,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4175,0,545
